date_time,temp_f,temp_c,dew_point,relative_humidity,wind_speed,visibility,pressure,weather,month
2012-08-04 15:00:00,91.03999999999999,32.8,18.8,44,17,24.1,101.39,Clear,8
2012-08-04 16:00:00,90.5,32.5,18.5,44,15,24.1,101.34,Clear,8
2012-08-04 17:00:00,90.5,32.5,19.8,47,13,24.1,101.32,Clear,8
